Gene1,Gene2,Disease
-1.386506618,-0.989695879,-1
-1.202249362,1.235574982,-1
-2.432208014,0.300016395,-1
-0.223624778,-0.755715601,-1
-0.166877294,1.561376155,-1
-0.976449995,-0.314665237,-1
-1.505471646,-0.425314059,-1
0.12777562,0.014160242,-1
1.690111914,-0.518951266,-1
0.339026077,-2.333339528,-1
-0.173163921,0.645342057,-1
0.191172064,0.316177241,-1
2.835137299,-0.793977731,-1
1.146336522,1.976810327,-1
-1.380498565,-1.062222909,-1
-0.831419009,0.452859183,-1
0.275453006,0.154710587,-1
-1.689706363,-2.488753328,-1
0.112423383,-0.11031405,-1
-0.42355819,0.783477659,-1
-0.113280347,-0.439161246,-1
0.73835777,-1.506875137,-1
0.233168313,-1.121347174,-1
-1.307888605,-0.276459701,-1
-0.394363223,0.280732553,-1
-0.478088393,0.735628427,-1
-0.932206247,-0.113821925,-1
0.197087522,0.15408091,-1
-0.051087574,1.095584783,-1
0.470681284,-0.576307682,-1
1.041704932,0.181192617,-1
0.920834202,0.333870915,-1
1.021925757,-0.388984311,-1
0.272188645,1.034130642,-1
1.230681551,0.401209072,-1
0.35976482,0.100974798,-1
-0.488517531,0.801605789,-1
-0.742989026,-0.227182403,-1
-0.649303165,1.754771736,-1
0.552036563,-0.591028699,-1
0.253038248,0.193254345,-1
0.162447197,-0.071713445,-1
-0.219329706,0.514607816,-1
-2.229148855,-0.998067284,-1
-0.476548568,-1.053682247,-1
0.90271861,-0.50068732,-1
-0.957379879,0.706899136,-1
-0.725304194,0.756166316,-1
-1.218102541,-1.337831814,-1
-1.671615186,-1.333403096,-1
3.010695374,3.986949868,1
2.109604606,3.945780727,1
4.398570446,3.781996505,1
2.361485957,3.092477498,1
2.221904594,3.24019427,1
2.478654533,1.334972527,1
2.973573526,6.364860652,1
2.718054163,4.117081779,1
2.112095654,1.281475004,1
4.452025226,4.425091322,1
3.371263054,1.921429901,1
3.33294882,3.153345781,1
2.401919106,5.059671738,1
2.701937463,5.59124355,1
1.92196132,3.333360489,1
4.850705614,2.79891707,1
3.341621815,3.691030438,1
2.228861873,3.378908175,1
4.139394597,2.220571969,1
3.627687819,3.104089045,1
2.224410502,3.981485643,1
3.114976342,4.111322237,1
3.50035517,3.380132925,1
2.834339339,5.789524624,1
1.621888103,3.609042155,1
3.67894507,1.799266681,1
2.720284063,3.081777188,1
2.231993816,3.320720752,1
3.466744551,2.109418369,1
2.08727304,2.199630487,1
2.358340841,3.684593986,1
3.30281837,1.908925098,1
3.865727031,4.132797253,1
3.795442225,4.521165702,1
2.2676422,3.792289607,1
2.860446293,2.181851288,1
3.259466387,3.157506091,1
2.391761271,3.566841287,1
3.773718993,3.04445713,1
5.025284179,4.270385634,1
2.373644115,4.368311665,1
2.700418091,2.376333198,1
2.686055113,4.567612537,1
2.260929188,2.047626238,1
4.964989265,2.137211849,1
3.774041024,3.849791844,1
3.434321628,4.385798114,1
3.888295322,4.538278465,1
3.974470296,3.246968747,1
2.557032245,3.031817755,1
